name,type,score,score_num
FESCO,实用工具,0,4
币友,聊天社交,0,0
GoFIT,体育运动,0,1
kasta,居家生活,0,0
虎扑,体育运动,4,26613
骑驴,摄影摄像,0,0
IQUNIX,时尚购物,0,0
echo,影音视听,4.5,5958
KK熊,居家生活,0,0
闪艺,图书阅读,4.5,293
MELM,医疗健康,0,0
12秒,时尚购物,0,0
321GO,体育运动,0,0
PMCAFF,聊天社交,4,7
摩友,实用工具,0,0
N赞,影音视听,0,0
省鸭,时尚购物,0,0
入座,聊天社交,0,0
MoMe,影音视听,0,0
Blued,聊天社交,2,7162
1美,医疗健康,0,0
Ta在,聊天社交,5,490
猫爪,聊天社交,0,0
Qwatch,体育运动,0,0
醒图,摄影摄像,0,0
51行,体育运动,0,0
陌颜,聊天社交,0,0
GO范,时尚购物,0,0
妃鱼,时尚购物,0,0
和付,金融理财,4.5,35
高途,体育运动,0,1
民铺,居家生活,0,0
hope,效率办公,5,397
Max+,聊天社交,4.5,2224
WMSO,体育运动,0,0
YOpro,体育运动,0,0
V聊,聊天社交,5,207
O聊,聊天社交,0,0
A9VG,新闻资讯,3.5,20
PINS,摄影摄像,5,194
YOYI,摄影摄像,0,3
Mu6,影音视听,0,0
Bind,实用工具,0,0
Fun,聊天社交,0,0
P图,摄影摄像,0,0
ETC+,旅行交通,0,0
TWO,聊天社交,0,0
EPK,体育运动,0,0
征途2,游戏,4,539
魔塔,游戏,3,828
ez Share图朵,摄影摄像,1.5,34
健康廊坊,医疗健康,0,0
央视影音,影音视听,5,45681
掌上有色,新闻资讯,5,65
松果健康,医疗健康,0,2
易房会买,居家生活,0,0
网上厨房,居家生活,5,2611
在途商旅,旅行交通,0,0
利津人儿,聊天社交,0,0
黄河银行,金融理财,4.5,14
蛋蛋部落,聊天社交,0,0
德业智能,居家生活,0,1
地厚云图,效率办公,0,0
DJ耶耶网,影音视听,0,0
一嗨租车,旅行交通,5,3165
拾捌约球,体育运动,0,0
目标呐喊,体育运动,0,0
呼呼省钱,时尚购物,0,4
快眼看书,图书阅读,0,0
乐享机场,旅行交通,0,0
暖暖房屋,居家生活,0,0
欧亿婚恋,聊天社交,0,0
全球时刻,时尚购物,0,0
神州租车,旅行交通,5,5456
天成智联,实用工具,0,0
云采医药,医疗健康,0,0
预测赢家,金融理财,5,282
月读公社,图书阅读,0,0
Office Auto,效率办公,0,0
武钓江湖,聊天社交,0,0
众力金融,金融理财,5,229
中山证券,金融理财,4.5,280
天眼新闻,新闻资讯,4.5,6
考培助手,学习教育,0,0
蜂蜜家居,居家生活,0,0
斑马会员,时尚购物,0,0
缤纷生活,金融理财,1.5,110
昆山论坛,聊天社交,2,8
悟空记账,金融理财,0,0
番茄畅听,图书阅读,0,0
咕咕阅读,图书阅读,0,0
博鸟绘本,时尚购物,0,2
我奥篮球,体育运动,4.5,7
多彩云,新闻资讯,0,0
减脂餐,医疗健康,0,0
医事通,医疗健康,1.5,14
段子乐,娱乐消遣,5,77
湖南IPTV,影音视听,1.5,20
智服云,效率办公,0,0
小e助手,居家生活,0,1
多保鱼,学习教育,0,0
共好学,新闻资讯,0,0
绿地G优,居家生活,0,0
国务院,新闻资讯,3,610
南海网,新闻资讯,0,3
伙伴云,效率办公,4,112
过日子,医疗健康,3.5,629
抑郁帮,医疗健康,0,0
爱美剧,影音视听,0,0
笑哥吹,娱乐消遣,0,0
看韩剧,影音视听,0,1
车小乙,效率办公,0,0
运好货,效率办公,0,0
好医宝,医疗健康,0,0
学两招,影音视听,0,4
心思为,医疗健康,0,0
易享练,医疗健康,0,0
银耐联,效率办公,0,0
筑企云,效率办公,0,0
华医通,医疗健康,1.5,18
信义e家,居家生活,5,193
时空印,摄影摄像,0,0
8868租号,实用工具,5,904
开黑啦,聊天社交,0,0
猫耳FM,影音视听,4.5,638
音悦咖,聊天社交,0,0
AdorHealth,体育运动,0,0
爱客宝,时尚购物,5,54
时代猪,时尚购物,0,0
艺版版,实用工具,0,0
走宝宝,体育运动,0,0
秀健身,体育运动,0,0
军优行,旅行交通,0,0
充电么,旅行交通,0,0
兴油宝,金融理财,0,0
好兴动,金融理财,0,0
车来顺,金融理财,0,0
易微联,居家生活,3.5,25
小可爱,聊天社交,0,0
房比房,居家生活,0,0
观测通,学习教育,0,0
十彩印,摄影摄像,0,0
酷铃音,实用工具,0,0
微安全,实用工具,0,0
锦鲤团,时尚购物,0,0
同学号,旅行交通,0,3
齐齐狸,时尚购物,0,0
邮政EMS,实用工具,1,53
看着办,金融理财,0,0
乐趣来,时尚购物,0,0
拉非客,聊天社交,0,0
乐优趣,旅行交通,0,0
喜乐吧,摄影摄像,0,0
萌萌哒,摄影摄像,0,0
房车猫,旅行交通,0,0
交流电,聊天社交,0,0
随手记,金融理财,5,52959
CBA联赛,体育运动,0,3
坐车网,旅行交通,4,1935
前有车,时尚购物,0,0
融贝网,金融理财,4.5,212
借贷宝,金融理财,4.5,6059
儒美客,体育运动,0,0
途伴熊,旅行交通,0,0
找球馆,体育运动,0,3
省小二,旅行交通,5,1095
深圳通,旅行交通,0,0
闲多多,聊天社交,0,0
股票通,金融理财,5,1777
我是谜,聊天社交,4,18
小摊儿,时尚购物,0,0
云客赞,旅行交通,0,3
华体汇,体育运动,0,0
淘安狸,时尚购物,0,0
原生泰,时尚购物,0,0
宜享花,金融理财,0,0
依一城,时尚购物,0,0
潮品会,时尚购物,0,0
纸多多,时尚购物,0,0
同学会,实用工具,5,507
资和信,时尚购物,2,7
次元圈,聊天社交,0,0
租租车,旅行交通,5,2369
造美客,旅行交通,0,0
弘电脑,实用工具,0,0
拉那儿,聊天社交,5,6
拼图宝,摄影摄像,0,0
货圈全,时尚购物,5,329
喵妆购,时尚购物,0,0
自购省,时尚购物,0,0
520美聘,医疗健康,0,0
蜗牛行,旅行交通,0,0
BU运动,体育运动,0,0
惠运动,体育运动,0,0
Detu Max,摄影摄像,0,0
小奶猫,聊天社交,0,0
PS修图,摄影摄像,0,0
票融通,金融理财,0,0
小伴点,聊天社交,0,0
LicoLico,影音视听,0,0
II优选,时尚购物,0,0
JAJAHOME,居家生活,0,1
决斗之城2,游戏,3,102
订餐表,居家生活,0,0
化纤邦,时尚购物,0,0
Jya Life,居家生活,0,0
KMPlayer,影音视听,3,184
Space3D,影音视听,0,0
线头云,实用工具,0,0
安逸花,金融理财,5,4683
Hi运动,体育运动,4,541
奇拍AR,摄影摄像,2,8
借有钱,金融理财,5,155
U苗保,效率办公,0,0
台陆通,实用工具,0,0
THETA S,影音视听,0,0
趣直播,聊天社交,0,0
漫客栈,图书阅读,4.5,2134
来旅行,旅行交通,0,3
步天天,体育运动,0,0
卡惠宝,金融理财,0,0
MINIEYE,摄影摄像,0,0
封底,新闻资讯,0,0
飞观,影音视听,0,0
闪米,影音视听,0,0
侨宝,新闻资讯,0,3
e把手,金融理财,0,0
自由之战,游戏,3,13
e钱包,金融理财,5,500
Ai导游,旅行交通,0,1
XTU GO,影音视听,0,0
船E行,旅行交通,0,0
凯阅,学习教育,0,0
Goalgo,效率办公,0,0
慧谈,影音视听,0,0
面相,娱乐消遣,0,0
新民,新闻资讯,4.5,33
Garras,影音视听,0,0
喷饭,娱乐消遣,0,0
推房,效率办公,0,0
佑蜜,医疗健康,0,0
哔播,影音视听,0,0
525家,效率办公,0,0
青囊,医疗健康,0,0
QQ阅读,图书阅读,3.5,20219
闪剧,影音视听,5,9
杉宝,医疗健康,0,0
丫播,影音视听,4,286
融e充,旅行交通,0,0
有兔,影音视听,0,0
智看,影音视听,0,0
白医,医疗健康,0,0
SriHome,摄影摄像,0,0
信车,效率办公,0,0
优看,影音视听,0,0
医聊,新闻资讯,0,0
诱火,影音视听,0,0
鲁门,效率办公,0,0
Kouhigh,时尚购物,0,0
佛歌,影音视听,0,0
i安康,效率办公,0,0
钱站,金融理财,4,2571
Pandla,聊天社交,0,0
企友,聊天社交,0,0
蛋趣,时尚购物,0,0
Xvideo,聊天社交,0,0
pia玩,聊天社交,0,0
享窝,旅行交通,0,0
香桔,聊天社交,0,0
弈赔,实用工具,0,0
EnAPP,效率办公,0,0
图萌,图书阅读,0,0
爱柏,体育运动,0,0
币乎,聊天社交,0,0
九回,体育运动,0,0
圈尔,聊天社交,5,81
BLD-me,旅行交通,0,0
一起,聊天社交,0,0
变啦,体育运动,5,694
小独,图书阅读,4,277
声社,聊天社交,5,481
珹宝,居家生活,0,0
BAOJUN,聊天社交,0,0
传奇至尊,游戏,0,0
快电,旅行交通,0,0
盒DAN,聊天社交,0,0
今球,体育运动,0,0
借条,金融理财,0,0
宠礼,时尚购物,0,0
给到,时尚购物,5,87
顽主,聊天社交,0,0
瀚点,居家生活,0,0
READfit,体育运动,0,0
伴言,医疗健康,0,0
卉友,实用工具,0,0
火信,聊天社交,0,0
别急,旅行交通,0,0
冀时,新闻资讯,2.5,25
AView,影音视听,0,0
得推,时尚购物,0,0
街眼,居家生活,0,0
探金,居家生活,0,0
千讯,聊天社交,0,0
抖密,聊天社交,0,0
友艇,旅行交通,0,0
聚E起,居家生活,0,0
读嘉,新闻资讯,0,0
卡戳,旅行交通,0,0
小金,金融理财,3.5,571
右上,影音视听,0,0
篮盟,体育运动,0,0
蓝聘,实用工具,0,0
驭圈,聊天社交,0,0
微油,旅行交通,4,60
它品,时尚购物,0,3
嗨探,居家生活,0,1
婚语,效率办公,3,8
玛仔,金融理财,0,0
密集,时尚购物,0,0
可访,聊天社交,0,0
澜渟,医疗健康,0,0
哔噜,聊天社交,0,0
培影,摄影摄像,0,0
NetSee,摄影摄像,0,0
My HKT,金融理财,0,0
清池,聊天社交,0,0
香聘,实用工具,4.5,182
有记,聊天社交,0,0
素影,摄影摄像,0,0
升级80分,游戏,0,0
云听,影音视听,5,1523
绿洲,聊天社交,0,2
微博,聊天社交,3,515342
故宫,旅行交通,1.5,6
Sonos,影音视听,0,0
奇聊,聊天社交,0,0
美省,时尚购物,0,0
探讨,体育运动,0,0
桃朵,时尚购物,0,0
王牌战士,游戏,3.5,13
微信,聊天社交,2,169747
点技,聊天社交,0,0
轻缘,聊天社交,0,0
ToyFX,娱乐消遣,0,0
Kalay,影音视听,0,0
过目,图书阅读,0,0
乐写,学习教育,0,0
蛙哈,摄影摄像,0,0
哇咔,时尚购物,0,0
晚润,时尚购物,0,0
龟米,时尚购物,0,0
秀蛋,聊天社交,5,4802
船顺,实用工具,0,0
倾行,体育运动,0,0
